Date,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
6/1/1988,7.25,,,7.51,,5.4,4.5
6/22/1988,7.4375,,,,,,
7/1/1988,7.5,,,7.75,2.3,5.4,4.5
7/19/1988,7.6875,,,,,,
8/1/1988,7.6875,,,8.01,,5.6,4.4
8/8/1988,7.75,,,,,,
8/9/1988,8.125,,,,,,
9/1/1988,8.125,,,8.19,,5.4,4.4
10/1/1988,8.125,,,8.3,5.4,5.4,4.5
11/1/1988,8.125,,,8.35,,5.3,4.4
11/17/1988,8.3125,,,,,,
11/22/1988,8.375,,,,,,
12/1/1988,8.375,,,8.76,,5.3,4.7
12/15/1988,8.6875,,,,,,
1/1/1989,8.6875,,,9.12,4.1,5.4,4.6
1/5/1989,9,,,,,,
2/1/1989,9,,,9.36,,5.2,4.8
2/9/1989,9.125,,,,,,
2/14/1989,9.3125,,,,,,
2/24/1989,9.75,,,,,,
3/1/1989,9.75,,,9.85,,5,4.7
4/1/1989,9.75,,,9.84,3.2,5.2,4.6
5/1/1989,9.75,,,9.81,,5.2,4.6
5/17/1989,9.8125,,,,,,
6/1/1989,9.8125,,,9.53,,5.3,4.5
6/6/1989,9.5625,,,,,,
7/1/1989,9.5625,,,9.24,3,5.2,4.6
7/7/1989,9.3125,,,,,,
7/27/1989,9.0625,,,,,,
8/1/1989,9.0625,,,8.99,,5.2,4.4
9/1/1989,9.0625,,,9.02,,5.3,4.3
10/1/1989,9.0625,,,8.84,0.9,5.3,4.3
10/19/1989,8.75,,,,,,
11/1/1989,8.75,,,8.55,,5.4,4.4
11/6/1989,8.5,,,,,,
12/1/1989,8.5,,,8.45,,5.4,4.4
12/20/1989,8.25,,,,,,
1/1/1990,8.25,,,8.23,4.5,5.4,4.4
2/1/1990,8.25,,,8.24,,5.3,4.6
3/1/1990,8.25,,,8.28,,5.2,4.9
4/1/1990,8.25,,,8.26,1.6,5.4,4.8
5/1/1990,8.25,,,8.18,,5.4,4.8
6/1/1990,8.25,,,8.29,,5.2,4.9
7/1/1990,8.25,,,8.15,0.1,5.5,5
7/13/1990,8,,,,,,
8/1/1990,8,,,8.13,,5.7,5.5
9/1/1990,8,,,8.2,,5.9,5.5
10/1/1990,8,,,8.11,-3.4,5.9,5.3
10/29/1990,7.75,,,,,,
11/1/1990,7.75,,,7.81,,6.2,5.3
11/14/1990,7.5,,,,,,
12/1/1990,7.5,,,7.31,,6.3,5.2
12/7/1990,7.25,,,,,,
12/19/1990,7,,,,,,
1/1/1991,7,,,6.91,-1.9,6.4,5.6
1/9/1991,6.75,,,,,,
2/1/1991,6.25,,,6.25,,6.6,5.6
3/1/1991,6.25,,,6.12,,6.8,5.2
3/8/1991,6,,,,,,
4/1/1991,6,,,5.91,3.1,6.7,5.1
4/30/1991,5.75,,,,,,
5/1/1991,5.75,,,5.78,,6.9,5.1
6/1/1991,5.75,,,5.9,,6.9,5
7/1/1991,5.75,,,5.82,1.9,6.8,4.8
8/1/1991,5.75,,,5.66,,6.9,4.6
8/6/1991,5.5,,,,,,
9/1/1991,5.5,,,5.45,,6.9,4.5
9/13/1991,5.25,,,,,,
10/1/1991,5.25,,,5.21,1.8,7,4.4
10/31/1991,5,,,,,,
11/1/1991,5,,,4.81,,7,4.5
11/6/1991,4.75,,,,,,
12/1/1991,4.75,,,4.43,,7.3,4.4
12/6/1991,4.5,,,,,,
12/20/1991,4,,,,,,
1/1/1992,4,,,4.03,4.8,7.3,3.9
2/1/1992,4,,,4.06,,7.4,3.8
3/1/1992,4,,,3.98,,7.4,3.9
4/1/1992,4,,,3.73,4.5,7.4,3.9
4/9/1992,3.75,,,,,,
5/1/1992,3.75,,,3.82,,7.6,3.8
6/1/1992,3.75,,,3.76,,7.8,3.8
7/1/1992,3.75,,,3.25,3.9,7.7,3.7
7/2/1992,3.25,,,,,,
8/1/1992,3.25,,,3.3,,7.6,3.5
9/1/1992,3.25,,,3.22,,7.6,3.3
9/4/1992,3,,,,,,
10/1/1992,3,,,3.1,4.1,7.3,3.5
11/1/1992,3,,,3.09,,7.4,3.4
12/1/1992,3,,,2.92,,7.4,3.3
1/1/1993,3,,,3.02,0.8,7.3,3.5
2/1/1993,3,,,3.03,,7.1,3.6
3/1/1993,3,,,3.07,,7,3.4
4/1/1993,3,,,2.96,2.4,7.1,3.5
5/1/1993,3,,,3,,7.1,3.4
6/1/1993,3,,,3.04,,7,3.3
7/1/1993,3,,,3.06,2,6.9,3.2
8/1/1993,3,,,3.03,,6.8,3.3
9/1/1993,3,,,3.09,,6.7,3.2
10/1/1993,3,,,2.99,5.4,6.8,3
11/1/1993,3,,,3.02,,6.6,3.1
12/1/1993,3,,,2.96,,6.5,3.2
1/1/1994,3,,,3.05,4,6.6,2.9
2/1/1994,3,,,3.25,,6.6,2.8
2/4/1994,3.25,,,,,,
3/1/1994,3.25,,,3.34,,6.5,2.9
3/22/1994,3.5,,,,,,
4/1/1994,3.5,,,3.56,5.6,6.4,2.8
4/18/1994,3.75,,,,,,
5/1/1994,3.75,,,4.01,,6.1,2.8
5/17/1994,4.25,,,,,,
6/1/1994,4.25,,,4.25,,6.1,2.9
7/1/1994,4.25,,,4.26,2.4,6.1,2.9
8/1/1994,4.25,,,4.47,,6,2.9
8/16/1994,4.75,,,,,,
9/1/1994,4.75,,,4.73,,5.9,3
10/1/1994,4.75,,,4.76,4.6,5.8,2.9
11/1/1994,4.75,,,5.29,,5.6,2.8
11/15/1994,5.5,,,,,,
12/1/1994,5.5,,,5.45,,5.5,2.6
1/1/1995,5.5,,,5.53,1.4,5.6,2.9
2/1/1995,6,,,5.92,,5.4,3
3/1/1995,6,,,5.98,,5.4,3
4/1/1995,6,,,6.05,1.4,5.8,3.1
5/1/1995,6,,,6.01,,5.6,3.1
6/1/1995,6,,,6,,5.6,3
7/1/1995,6,,,5.85,3.5,5.7,3
7/6/1995,5.75,,,,,,
8/1/1995,5.75,,,5.74,,5.7,2.9
9/1/1995,5.75,,,5.8,,5.6,2.9
10/1/1995,5.75,,,5.76,2.9,5.5,3
11/1/1995,5.75,,,5.8,,5.6,3
12/1/1995,5.75,,,5.6,,5.6,3
12/19/1995,5.5,,,,,,
1/1/1996,5.5,,,5.56,2.7,5.6,3
1/31/1996,5.25,,,,,,
2/1/1996,5.25,,,5.22,,5.5,2.9
3/1/1996,5.25,,,5.31,,5.5,2.8
4/1/1996,5.25,,,5.22,7.2,5.6,2.7
5/1/1996,5.25,,,5.24,,5.6,2.7
6/1/1996,5.25,,,5.27,,5.3,2.7
7/1/1996,5.25,,,5.4,3.7,5.5,2.7
8/1/1996,5.25,,,5.22,,5.1,2.6
9/1/1996,5.25,,,5.3,,5.2,2.7
10/1/1996,5.25,,,5.24,4.3,5.2,2.6
11/1/1996,5.25,,,5.31,,5.4,2.6
12/1/1996,5.25,,,5.29,,5.4,2.6
1/1/1997,5.25,,,5.25,3.1,5.3,2.5
2/1/1997,5.25,,,5.19,,5.2,2.5
3/1/1997,5.25,,,5.39,,5.2,2.5
3/25/1997,5.5,,,,,,
4/1/1997,5.5,,,5.51,6.2,5.1,2.7
5/1/1997,5.5,,,5.5,,4.9,2.5
6/1/1997,5.5,,,5.56,,5,2.4
7/1/1997,5.5,,,5.52,5.2,4.9,2.4
8/1/1997,5.5,,,5.54,,4.8,2.3
9/1/1997,5.5,,,5.54,,4.9,2.2
10/1/1997,5.5,,,5.5,3.1,4.7,2.3
11/1/1997,5.5,,,5.52,,4.6,2.2
12/1/1997,5.5,,,5.5,,4.7,2.2
1/1/1998,5.5,,,5.56,4,4.6,2.2
2/1/1998,5.5,,,5.51,,4.6,2.3
3/1/1998,5.5,,,5.49,,4.7,2.1
4/1/1998,5.5,,,5.45,3.9,4.3,2.1
5/1/1998,5.5,,,5.49,,4.4,2.2
6/1/1998,5.5,,,5.56,,4.5,2.2
7/1/1998,5.5,,,5.54,5.3,4.5,2.2
8/1/1998,5.5,,,5.55,,4.5,2.5
9/1/1998,5.5,,,5.51,,4.6,2.5
9/29/1998,5.25,,,,,,
10/1/1998,5.25,,,5.07,6.7,4.5,2.3
10/15/1998,5,,,,,,
11/1/1998,5,,,4.83,,4.4,2.3
11/17/1998,4.75,,,,,,
12/1/1998,4.75,,,4.68,,4.4,2.4
1/1/1999,4.75,,,4.63,3.2,4.3,2.4
2/1/1999,4.75,,,4.76,,4.4,2.1
3/1/1999,4.75,,,4.81,,4.2,2.1
4/1/1999,4.75,,,4.74,3.3,4.3,2.2
5/1/1999,4.75,,,4.74,,4.2,2
6/1/1999,4.75,,,4.76,,4.3,2.1
6/30/1999,5,,,,,,
7/1/1999,5,,,4.99,5.1,4.3,2.1
8/1/1999,5,,,5.07,,4.2,1.9
8/24/1999,5.25,,,,,,
9/1/1999,5.25,,,5.22,,4.2,2
10/1/1999,5.25,,,5.2,7.1,4.1,2.1
11/1/1999,5.25,,,5.42,,4.1,2.1
11/16/1999,5.5,,,,,,
12/1/1999,5.5,,,5.3,,4,1.9
1/1/2000,5.5,,,5.45,1.2,4,2
2/1/2000,5.5,,,5.73,,4.1,2.2
2/2/2000,5.75,,,,,,
3/1/2000,5.75,,,5.85,,4,2.4
3/21/2000,6,,,,,,
4/1/2000,6,,,6.02,7.8,3.8,2.3
5/1/2000,6,,,6.27,,4,2.4
5/16/2000,6.5,,,,,,
6/1/2000,6.5,,,6.53,,4,2.5
7/1/2000,6.5,,,6.54,0.5,4,2.5
8/1/2000,6.5,,,6.5,,4.1,2.6
9/1/2000,6.5,,,6.52,,3.9,2.6
10/1/2000,6.5,,,6.51,2.3,3.9,2.5
11/1/2000,6.5,,,6.51,,3.9,2.6
12/1/2000,6.5,,,6.4,,3.9,2.6
1/1/2001,6.5,,,5.98,-1.1,4.2,2.6
1/3/2001,6,,,,,,
1/31/2001,5.5,,,,,,
2/1/2001,5.5,,,5.49,,4.2,2.7
3/1/2001,5.5,,,5.31,,4.3,2.7
3/20/2001,5,,,,,,
4/1/2001,5,,,4.8,2.1,4.4,2.6
4/18/2001,4.5,,,,,,
5/1/2001,4.5,,,4.21,,4.3,2.5
5/15/2001,4,,,,,,
6/1/2001,4,,,3.97,,4.5,2.7
6/27/2001,3.75,,,,,,
7/1/2001,3.75,,,3.77,-1.3,4.6,2.7
8/1/2001,3.75,,,3.65,,4.9,2.7
8/21/2001,3.5,,,,,,
9/1/2001,3.5,,,3.07,,5,2.6
9/17/2001,3,,,,,,
10/1/2001,3,,,2.49,1.1,5.3,2.6
10/2/2001,2.5,,,,,,
11/1/2001,2.5,,,2.09,,5.5,2.8
11/6/2001,2,,,,,,
12/1/2001,2,,,1.82,,5.7,2.7
12/11/2001,1.75,,,,,,
1/1/2002,1.75,,,1.73,3.7,5.7,2.6
2/1/2002,1.75,,,1.74,,5.7,2.6
3/1/2002,1.75,,,1.73,,5.7,2.4
4/1/2002,1.75,,,1.75,2.2,5.9,2.5
5/1/2002,1.75,,,1.75,,5.8,2.5
6/1/2002,1.75,,,1.75,,5.8,2.3
7/1/2002,1.75,,,1.73,2,5.8,2.2
8/1/2002,1.75,,,1.74,,5.7,2.4
9/1/2002,1.75,,,1.75,,5.7,2.2
10/1/2002,1.75,,,1.75,0.3,5.7,2.2
11/1/2002,1.75,,,1.34,,5.9,2
11/6/2002,1.25,,,,,,
12/1/2002,1.25,,,1.24,,6,1.9
1/1/2003,1.25,,,1.24,2.1,5.8,1.9
2/1/2003,1.25,,,1.26,,5.9,1.7
3/1/2003,1.25,,,1.25,,5.9,1.7
4/1/2003,1.25,,,1.26,3.8,6,1.5
5/1/2003,1.25,,,1.26,,6.1,1.6
6/1/2003,1.25,,,1.22,,6.3,1.5
6/25/2003,1,,,,,,
7/1/2003,1,,,1.01,6.9,6.2,1.5
8/1/2003,1,,,1.03,,6.1,1.3
9/1/2003,1,,,1.01,,6.1,1.2
10/1/2003,1,,,1.01,4.8,6,1.3
11/1/2003,1,,,1,,5.8,1.1
12/1/2003,1,,,0.98,,5.7,1.1
1/1/2004,1,,,1,2.3,5.7,1.1
2/1/2004,1,,,1.01,,5.6,1.2
3/1/2004,1,,,1,,5.8,1.6
4/1/2004,1,,,1,3,5.6,1.8
5/1/2004,1,,,1,,5.6,1.7
6/1/2004,1,,,1.03,,5.6,1.9
6/30/2004,1.25,,,,,,
7/1/2004,1.25,,,1.26,3.7,5.5,1.8
8/1/2004,1.25,,,1.43,,5.4,1.7
8/10/2004,1.5,,,,,,
9/1/2004,1.5,,,1.61,,5.4,2
9/21/2004,1.75,,,,,,
10/1/2004,1.75,,,1.76,3.5,5.5,2
11/1/2004,1.75,,,1.93,,5.4,2.2
11/10/2004,2,,,,,,
12/1/2004,2,,,2.16,,5.4,2.2
12/14/2004,2.25,,,,,,
1/1/2005,2.25,,,2.28,4.3,5.3,2.3
2/1/2005,2.25,,,2.5,,5.4,2.4
2/2/2005,2.5,,,,,,
3/1/2005,2.5,,,2.63,,5.2,2.3
3/22/2005,2.75,,,,,,
4/1/2005,2.75,,,2.79,2.1,5.2,2.2
5/1/2005,2.75,,,3,,5.1,2.2
5/3/2005,3,,,,,,
6/1/2005,3,,,3.04,,5,2
6/30/2005,3.25,,,,,,
7/1/2005,3.25,,,3.26,3.4,5,2.1
8/1/2005,3.25,,,3.5,,4.9,2.1
8/9/2005,3.5,,,,,,
9/1/2005,3.5,,,3.62,,5,2
9/20/2005,3.75,,,,,,
10/1/2005,3.75,,,3.78,2.3,5,2.1
11/1/2005,4,,,4,,5,2.1
12/1/2005,4,,,4.16,,4.9,2.2
12/13/2005,4.25,,,,,,
1/1/2006,4.25,,,4.29,4.9,4.7,2.1
1/31/2006,4.5,,,,,,
2/1/2006,4.5,,,4.49,,4.8,2.1
3/1/2006,4.5,,,4.59,,4.7,2.1
3/28/2006,4.75,,,,,,
4/1/2006,4.75,,,4.79,1.2,4.7,2.3
5/1/2006,4.75,,,4.94,,4.6,2.4
5/10/2006,5,,,,,,
6/1/2006,5,,,4.99,,4.6,2.6
6/29/2006,5.25,,,,,,
7/1/2006,5.25,,,5.24,0.4,4.7,2.7
8/1/2006,5.25,,,5.25,,4.7,2.8
9/1/2006,5.25,,,5.25,,4.5,2.9
10/1/2006,5.25,,,5.25,3.2,4.4,2.7
11/1/2006,5.25,,,5.25,,4.5,2.6
12/1/2006,5.25,,,5.24,,4.4,2.6
1/1/2007,5.25,,,5.25,0.2,4.6,2.7
2/1/2007,5.25,,,5.26,,4.5,2.7
3/1/2007,5.25,,,5.26,,4.4,2.5
4/1/2007,5.25,,,5.25,3.1,4.5,2.3
5/1/2007,5.25,,,5.25,,4.4,2.2
6/1/2007,5.25,,,5.25,,4.6,2.2
7/1/2007,5.25,,,5.26,2.7,4.7,2.2
8/1/2007,5.25,,,5.02,,4.6,2.1
9/1/2007,5.25,,,4.94,,4.7,2.1
9/18/2007,4.75,,,,,,
10/1/2007,4.75,,,4.76,1.4,4.7,2.2
10/31/2007,4.5,,,,,,
11/1/2007,4.5,,,4.49,,4.7,2.3
12/1/2007,4.5,,,4.24,,5,2.4
12/11/2007,4.25,,,,,,
1/1/2008,4.25,,,3.94,-2.7,5,2.5
1/22/2008,3.5,,,,,,
1/30/2008,3,,,,,,
2/1/2008,3,,,2.98,,4.9,2.3
3/1/2008,3,,,2.61,,5.1,2.4
3/18/2008,2.25,,,,,,
4/1/2008,2.25,,,2.28,2,5,2.3
4/30/2008,2,,,,,,
5/1/2008,2,,,1.98,,5.4,2.3
6/1/2008,2,,,2,,5.6,2.4
7/1/2008,2,,,2.01,-1.9,5.8,2.5
8/1/2008,2,,,2,,6.1,2.5
9/1/2008,2,,,1.81,,6.1,2.5
10/1/2008,2,,,0.97,-8.2,6.5,2.2
10/8/2008,1.5,,,,,,
10/29/2008,1,,,,,,
11/1/2008,1,,,0.39,,6.8,2
12/1/2008,1,,,0.16,,7.3,1.8
12/16/2008,,0.25,0,,,,
1/1/2009,,0.25,0,0.15,-5.4,7.8,1.7
2/1/2009,,0.25,0,0.22,,8.3,1.8
3/1/2009,,0.25,0,0.18,,8.7,1.8
4/1/2009,,0.25,0,0.15,-0.5,9,1.9
5/1/2009,,0.25,0,0.18,,9.4,1.8
6/1/2009,,0.25,0,0.21,,9.5,1.7
7/1/2009,,0.25,0,0.16,1.3,9.5,1.5
8/1/2009,,0.25,0,0.16,,9.6,1.4
9/1/2009,,0.25,0,0.15,,9.8,1.5
10/1/2009,,0.25,0,0.12,3.9,10,1.7
11/1/2009,,0.25,0,0.12,,9.9,1.7
12/1/2009,,0.25,0,0.12,,9.9,1.8
1/1/2010,,0.25,0,0.11,1.7,9.8,1.6
2/1/2010,,0.25,0,0.13,,9.8,1.3
3/1/2010,,0.25,0,0.16,,9.9,1.1
4/1/2010,,0.25,0,0.2,3.9,9.9,0.9
5/1/2010,,0.25,0,0.2,,9.6,0.9
6/1/2010,,0.25,0,0.18,,9.4,0.9
7/1/2010,,0.25,0,0.18,2.7,9.4,0.9
8/1/2010,,0.25,0,0.19,,9.5,0.9
9/1/2010,,0.25,0,0.19,,9.5,0.8
10/1/2010,,0.25,0,0.19,2.5,9.4,0.6
11/1/2010,,0.25,0,0.19,,9.8,0.8
12/1/2010,,0.25,0,0.18,,9.3,0.8
1/1/2011,,0.25,0,0.17,-1.5,9.1,1
2/1/2011,,0.25,0,0.16,,9,1.1
3/1/2011,,0.25,0,0.14,,9,1.2
4/1/2011,,0.25,0,0.1,2.9,9.1,1.3
5/1/2011,,0.25,0,0.09,,9,1.5
6/1/2011,,0.25,0,0.09,,9.1,1.6
7/1/2011,,0.25,0,0.07,0.8,9,1.8
8/1/2011,,0.25,0,0.1,,9,2
9/1/2011,,0.25,0,0.08,,9,2
10/1/2011,,0.25,0,0.07,4.6,8.8,2.1
11/1/2011,,0.25,0,0.08,,8.6,2.2
12/1/2011,,0.25,0,0.07,,8.5,2.2
1/1/2012,,0.25,0,0.08,2.7,8.3,2.3
2/1/2012,,0.25,0,0.1,,8.3,2.2
3/1/2012,,0.25,0,0.13,,8.2,2.3
4/1/2012,,0.25,0,0.14,1.9,8.2,2.3
5/1/2012,,0.25,0,0.16,,8.2,2.3
6/1/2012,,0.25,0,0.16,,8.2,2.2
7/1/2012,,0.25,0,0.16,0.5,8.2,2.1
8/1/2012,,0.25,0,0.13,,8.1,1.9
9/1/2012,,0.25,0,0.14,,7.8,2
10/1/2012,,0.25,0,0.16,0.1,7.8,2
11/1/2012,,0.25,0,0.16,,7.7,1.9
12/1/2012,,0.25,0,0.16,,7.9,1.9
1/1/2013,,0.25,0,0.14,2.8,8,1.9
2/1/2013,,0.25,0,0.15,,7.7,2
3/1/2013,,0.25,0,0.14,,7.5,1.9
4/1/2013,,0.25,0,0.15,0.8,7.6,1.7
5/1/2013,,0.25,0,0.11,,7.5,1.7
6/1/2013,,0.25,0,0.09,,7.5,1.6
7/1/2013,,0.25,0,0.09,3.1,7.3,1.7
8/1/2013,,0.25,0,0.08,,7.3,1.8
9/1/2013,,0.25,0,0.08,,7.2,1.7
10/1/2013,,0.25,0,0.09,4,7.2,1.7
11/1/2013,,0.25,0,0.08,,6.9,1.7
12/1/2013,,0.25,0,0.09,,6.7,1.7
1/1/2014,,0.25,0,0.07,-1.2,6.6,1.6
2/1/2014,,0.25,0,0.07,,6.7,1.6
3/1/2014,,0.25,0,0.08,,6.7,1.7
4/1/2014,,0.25,0,0.09,4,6.2,1.8
5/1/2014,,0.25,0,0.09,,6.3,2
6/1/2014,,0.25,0,0.1,,6.1,1.9
7/1/2014,,0.25,0,0.09,5,6.2,1.9
8/1/2014,,0.25,0,0.09,,6.2,1.7
9/1/2014,,0.25,0,0.09,,5.9,1.7
10/1/2014,,0.25,0,0.09,2.3,5.7,1.8
11/1/2014,,0.25,0,0.09,,5.8,1.7
12/1/2014,,0.25,0,0.12,,5.6,1.6
1/1/2015,,0.25,0,0.11,2,5.7,1.6
2/1/2015,,0.25,0,0.11,,5.5,1.7
3/1/2015,,0.25,0,0.11,,5.4,1.8
4/1/2015,,0.25,0,0.12,2.6,5.4,1.8
5/1/2015,,0.25,0,0.12,,5.5,1.7
6/1/2015,,0.25,0,0.13,,5.3,1.8
7/1/2015,,0.25,0,0.13,2,5.2,1.8
8/1/2015,,0.25,0,0.14,,5.1,1.8
9/1/2015,,0.25,0,0.14,,5,1.9
10/1/2015,,0.25,0,0.12,0.9,5,1.9
11/1/2015,,0.25,0,0.12,,5,2
12/1/2015,,0.25,0,0.24,,5,2.1
1/1/2016,,0.5,0.25,0.34,0.8,4.9,2.2
2/1/2016,,0.5,0.25,0.38,,4.9,2.3
3/1/2016,,0.5,0.25,0.36,,5,2.2
4/1/2016,,0.5,0.25,0.37,1.4,5,2.1
5/1/2016,,0.5,0.25,0.37,,4.7,2.2
6/1/2016,,0.5,0.25,0.38,,4.9,2.2
7/1/2016,,0.5,0.25,0.39,3.5,4.9,2.2
8/1/2016,,0.5,0.25,0.4,,4.9,2.3
9/1/2016,,0.5,0.25,0.4,,4.9,2.2
10/1/2016,,0.5,0.25,0.4,1.9,4.8,2.1
11/1/2016,,0.5,0.25,0.41,,4.6,2.1
12/1/2016,,0.5,0.25,0.54,,4.7,2.2
12/14/2016,,0.75,0.5,,,,
1/1/2017,,0.75,0.5,0.65,,4.8,2.3
2/1/2017,,0.75,0.5,0.66,,4.7,2.2
3/1/2017,,0.75,0.5,,,,
3/16/2017,,1,0.75,,,,